"","text","emotion","polarity"
"319","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"320","i don’t know how people can seriously not be happy for others that’s a true mental health issue","joy","neutral"
"321","has anyone checked if she has a mental health issue","neutral","positive"
"322","you said you couldn’t get the sentence out of your head happens to me all the time andvi tease m…","joy","negative"
"323","listen if you have a mental health issue i have compassion for you but being mentally ill does not excuse violent conduc…","neutral","negative"
"324","your inexcusable actions guised as “mania” is a slap in the face of everyone who has mental health issues you beat her because…","surprise","negative"
"325","when mental health experts warned us that the normalization of sociopathic behavior would lead to catastrophic social iss…","neutral","negative"
"326","mental health is a serious issue please talk to your doctor if you need someone to talk to about your mental health issue…","joy","negative"
"327","wonder how mental health comes into play we know he has been diagnosed with bipolar the issue is he di…","surprise","positive"
"328","biggest issue facing ed inlot of kids who lost moms amp dads with no closure start to build a mental…","neutral","negative"
"329","read the seahawks statement implying chad wheeler has mental health issues and they wont try to resign him after he tried to mur…","neutral","negative"
"330","then dude was like i’m surprised she survived but this a mental health issue","joy","positive"
"331","victimhood is a mental health issue","neutral","positive"
"332","your inexcusable actions guised as “mania” is a slap in the face of everyone who has mental health issues you beat…","neutral","negative"
"333","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"334","i’m so over men questioning the legitimacy or validity of my mental health issue me just because i don’t exhibit my…","neutral","positive"
"335","ah i see so just like in everything else white dude commits a crime and he has a mental health issue black dude commi…","joy","neutral"
"336","<U+0001F4AF> agree but the other issue that is just as concerning is the lack of mental health resources and treatmen…","neutral","neutral"
"337","mental health is a serious issue please talk to your doctor if you need someone to talk to about your mental health issue…","joy","negative"
"338","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"339","fuck you you’re an asshole this isn’t a mental health issue putting your hands on a woman is a crime and you dese…","neutral","neutral"
"340","going through a mental health issue and you feel alone amp misunderstood

joinon s instagram f…","neutral","negative"
"341","please address the issue at hand yb which is the mental health of students who are simply ill prepared to take spm","joy","neutral"
"342","agreed whenever i see clips like this i always have to ask myself is this a mental health r…","joy","neutral"
"343","even if it was a mental health issue call it what it wasattempted murder and an absolutely brutal att…","anger","negative"
"344","this is a different issue entirely but having teams of trained mental health profess…","neutral","positive"
"345","dont get me wrong mental health is an absolute issue but im tired of seeing the contradictory between players e…","disgust","negative"
"346","like yeah i get that mental health is an issue here same as cte and brain damage but this is really fucking mess…","joy","negative"
"347","ehhhh im not sure that tracksfor anyone to do something that heinous they have to have something w…","neutral","neutral"
"348","this isn’t a mental health issue though","neutral","positive"
"349","you cant be serious she was right all along she follows the facts you know you have the abil…","neutral","neutral"
"350","when students are at the table we make better decisions grateful for the fruitful discussion this morning with our stud…","neutral","positive"
"351","man put damn animal pos in prison and throw away the key and seattles response tried to make it seem like a menta…","joy","negative"
"352","trumps mental health was clearly the salient issue from before the beginning of his term it wasnt subtl…","neutral","positive"
"353","he’s has documented mental health issue some people like to use this as a scape goat","joy","neutral"
"354","well that’s because guns aren’t the issue if anything the democrats and republicans help…","neutral","positive"
"355","stop

apologising

for

having

a

mental

health

issue<U+203C><U+FE0F>

<U+0001F60A><U+0001F5A4><U+0001F918><U+0001F3FC>","neutral","positive"
"356","of a burden it made me feel when i was dating sinead my mental health was at an all time low because of the toxici…","sadness","negative"
"357","and they calling afootpound man attempting to kill apound woman a damn mental health issue and sugg…","neutral","negative"
"358","there’s someone who sounds very drunk or high andor having a mental health issue in a lot of distress being very l…","anger","negative"
"359","our report on sex differences mental health disorders amp pfp in military service members will be out in the veteran…","neutral","positive"
"360","what a trash statement to turn this into a mental health issue","disgust","positive"
"361","read the seahawks statement implying chad wheeler has mental health issues and they wont try to resign him after he tried to mur…","neutral","negative"
"362","that is not a mask issue it is a mental health issue","neutral","positive"
"363","perspectives imhhas been published perspectives imh is an open source publication please share imh waimh worldi…","joy","positive"
"364","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"365","read the seahawks statement implying chad wheeler has mental health issues and they wont try to resign him after he tried to mur…","neutral","negative"
"366","and people keep trying to say this is a mental health issue umm no i know so many wonderful with mental health proble…","surprise","positive"
"367","but taxpayers should be forced to pay for illegal immigrants and overpriced healthca…","neutral","negative"
"368","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"369","you should be ashamed of yourself dont blame it on a mental health issue man up and get off those steroid you need jesus","sadness","negative"
"370","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"371","nope but i have a feeling the mental health issue and the obvious other factor are giving the media pa…","neutral","negative"
"372","read the seahawks statement implying chad wheeler has mental health issues and they wont try to resign him after he tried to mur…","neutral","negative"
"373","he used the words manic episodein his statement so there could be a larger ment…","neutral","negative"
"374","ur daughter can study them amp tell u whatever she wi…","neutral","negative"
"375","read the seahawks statement implying chad wheeler has mental health issues and they wont try to resign him after…","neutral","negative"
"376","if you fix this housing mess affordability of cars wont be an issue anymore child poverty and me…","neutral","negative"
"377","no mention of mental health issuefor him or any black athlete…","neutral","negative"
"378","why its time to take drinking seriously as a mental health issue","neutral","negative"
"379","i hope that woman that made thepage callout on a kid is likereflecting and working on herself with mental h…","joy","positive"
"380","thank you for confirming to all of us deb that we have a serious mental health issue in the usa","neutral","neutral"
"381","prayers man mental health is a big issue i am sorry for what happen i’m not making any excuses for…","sadness","negative"
"382","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"383","mental health treatment availability remains a socioeconomic issue mental heal…","neutral","positive"
"384","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"385","domestic violence isn’t a mh issue 
we can all agree on that

he’s off his bi…","neutral","positive"
"386","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issue sho…","anger","negative"
"387","i have a big issue with labeling things as a “manic episode” or a “mental health issue” when it comes to domestic violence…","neutral","positive"
"388","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issu…","anger","negative"
"389","racism isnt a mental health issue it is a societal healt…","neutral","negative"
"390","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issue s…","anger","negative"
"391","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issue sh…","anger","negative"
"392","i have a big issue with labeling things as a “manic episode” or a “mental health issue” when it comes to domestic violence and white people","neutral","positive"
"393","alcoholawareness yes talking bo horvatcanucks and nhland more listening to health experts war…","neutral","positive"
"394","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issue sho…","anger","negative"
"395","he is bipolarhas been off his meds and probably doesn’t have anyone to make sure he stays on them…","neutral","positive"
"396","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issue s…","anger","negative"
"397","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issue…","anger","negative"
"398","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issue sho…","anger","negative"
"399","you have allowed the homeless population to grow exponentially on your watchthis is on you your ina…","neutral","negative"
"400","you asking her to bow to you was in no way related to your mental health issue you’re just scum plain and simple","neutral","negative"
"401","if you have a mental health issuego to therapy take your meds keep your routines limit alcohol and sugarkeep up with yo…","neutral","negative"
"402","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issue sh…","anger","negative"
"403","trumps mental health was clearly the salient issue from before the beginning of his term it wasnt subtl…","neutral","positive"
"404","i’m beginning to see you have mental health issue’s someone please get this person help before they hurt someone <U+0001F64F>","joy","negative"
"405","which mental health issue should the nfl care about more josh gordon hurting himself with drugs…","joy","positive"
"406","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental…","anger","negative"
"407","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issue…","anger","negative"
"408","could it be a mental health issue","neutral","positive"
"409","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"410","that woman needs to seek psychiatric treatment she may not even know she has a mental health issue her relatives need to intervene","neutral","neutral"
"411","what a trash statement to turn this into a mental health issue","disgust","positive"
"412","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"413","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"414","you have allowed the homeless population to grow exponentially on your watchthis is on you your ina…","neutral","negative"
"415","an important issue which came up during covidwomen betweenhad the worst mental health during covid partly…","neutral","negative"
"416","i think it was actually a mental health issue","neutral","positive"
"417","this america is what mental illness and victim mentality looks look mental health disorders are a…","neutral","negative"
"418","always been a health issue either physical ampor mental","neutral","positive"
"419","the tent cities are out control is anyone willing to talk about why more money…","neutral","positive"
"420","why is it taking so long to get the amendment issue sorted this should be prioritise…","sadness","negative"
"421","allof a sudden its a mental health issuei wonder why <U+0001F914>","surprise","positive"
"422","matthew you spoke to the heart of the issue in an eloquent waysharing your story…","joy","positive"
"423","piece of shit trying to pass this off as a mental health issue","neutral","negative"
"424","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"425","why is it taking so long to get the amendment issue sorted this should be prior…","sadness","negative"
"426","terrible statement domestic violence isn’t caused by a mental health issue cite…","fear","negative"
"427","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"428","they trynna push it as a mental health issue lol","neutral","positive"
"429","domestic violence is not a mental health issue <U+0001F615>","neutral","positive"
"430","mental health issue gtfoh","neutral","positive"
"431","he was bipolar and off his meds it’s a mental health issue","neutral","positive"
"432","thedropped the ball with that statement chad wheeler doesn’t have a mental health issue he has an enti…","neutral","positive"
"433","some people just want to see conspiracies if it wasnt about trump it would be about something else…","neutral","positive"
"434","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"435","travel isnt a big issuehe understands data and he is more cogni…","neutral","positive"
"436","why is this being framed as a mental health issue the man was surprised his victim had survived im disappointed…","surprise","negative"
"437","clin trials engaged and resilienta preventive intervention to promote psychological wellbeing and mental healt…","neutral","positive"
"438","what a trash statement to turn this into a mental health issue","disgust","positive"
"439","when states started to issue lockdown orders we saw a surge in people seeking mental health resources on social m…","neutral","positive"
"440","white athletes and black athletes should get the same treatment by the media buddy got the “mental health issue” tr…","sadness","negative"
"441","to this day i still am baffled at michael vick being locked up for dog fighting and its nfl players out here sexually and physi…","anger","negative"
"442","for shametrying to shoehorn this into a mental health issue the man is a violent psychopath and should…","neutral","negative"
"443","what a trash statement to turn this into a mental health issue","disgust","positive"
"444","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"445","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"446","what a trash statement to turn this into a mental health issue","disgust","positive"
"447","well i dont believe that no one cares and i mean if i had a mental h…","neutral","negative"
"448","to this day i still am baffled at michael vick being locked up for dog fighting and its nfl players out here sexua…","anger","negative"
"449","how many students will actually be suicidal and abusedin a…","neutral","neutral"
"450","what a trash statement to turn this into a mental health issue","disgust","positive"
"451","the whole point is no one even asks or cares if black people may ha…","neutral","neutral"
"452","and this is true about every issue including mental health homelessness incarceration covi…","neutral","positive"
"453","mans strangled beat her silly strangled and left her for dead then proceeded to about his dinner what mental hea…","surprise","negative"
"454","mental health is such an important topic we all suffer it in silence we need an open discussion head over to my inst…","sadness","negative"
"455","twdomestic abuse

you’ve literally tried to kill another human being don’t try and put this on mental health…","neutral","negative"
"456","you have allowed the homeless population to grow exponentially on your watchthis is on you your…","neutral","negative"
"457","the awareness of mentalhealth as a public policy issue has been growing and we can consider it an important opportu…","neutral","positive"
"458","“white guilt”the incurable mental health issue plaguing americato continue watching the live show go to our w…","joy","neutral"
"459","one in five people have a mental health issueit’s important that we lose the stigma related to mental health and start lo…","neutral","negative"
"460","one in five people have a mental health issueit’s important that we lose the stigma related to mental health and start lo…","neutral","negative"
"461","if they can be so easily pushed into these spiderholes is it time to discuss what is appare…","neutral","positive"
"462","like i’ve said all police fire emt need to have a a bachelor’s in psychology or higher you can’t e…","joy","neutral"
"463","one in five people have a mental health issueit’s important that we lose the stigma related to mental health and…","neutral","negative"
"464","<U+25B6><U+FE0F> growing concern about ill mentalhealth in medicalstudent universities across <U+0001F310> must address this issue asap…","joy","negative"
"465","we can no longer tolerate using incarceration to mask our societal issues instead of facing that we have a housing is…","neutral","positive"
"466","an important issue which came up during covidwomen betweenhad the worst mental health during covid partly…","neutral","negative"
"467","“a white man” that’s all you hoped to get across here this story did not need the mans race but…","sadness","negative"
"468","some people wonder if open door systems are applicable to their own mental health system after all where they work people…","surprise","positive"
"469","looking after your mental and physical health is very important particularly at the moment if your diet daily routi…","neutral","positive"
"470","seahawks make statement on chadwheeler trying to murder his girlfriend says they won’t resign him and says he h…","anger","negative"
"471","mental health issuea social worker should show up not police after all that is…","neutral","negative"
"472","she even said it’s because he stopped taking his bi polar medicine so it…","neutral","negative"
"473","important contributions to the parliamentary group on drugs alcohol amp justice fromandlonelines…","neutral","positive"
"474","if you have a mental health issuego to therapy take your meds keep your routines limit alcohol and sugarkeep up with yo…","neutral","negative"
"475","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"476","not a mental health issue he sat n ate food next to her i’m not hearing the mental health shit no more","neutral","positive"
"477","the issue of mental health in regards to the wheeler situation is a lot more complex than y’all wanna admit it is","neutral","neutral"
"478","not buying that because i feel like most nfl players have a mental health issue to a degree","joy","positive"
"479","transmania is a fad its a mental health issue im sure","neutral","neutral"
"480","i dunno man i dont think this is a race issueyes each person is of a rac…","neutral","positive"
"481","mental health is a serious issue that needs help not judgement now that that’s out the way this mf full of shit…","neutral","negative"
"482","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"483","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"484","the mental health issue is being ignored we as people need friends interaction closeness love and hugs…","joy","positive"
"485","from our first issue released last may—learn how the art of making paper by hand is supporting mental health for sh…","neutral","negative"
"486","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"487","this is very super complex and complicated issue he fucked up bad and i’m not side steeping that h…","sadness","negative"
"488","ah yes of course no one cares about the issue leaving mean and hateful comments mental health and b…","anger","negative"
"489","i think most people who have lived through dysphoria themselves recognise it’s a mental health issue wi…","sadness","positive"
"490","im bipolar and on my meds even when i was off my meds i never assaulted any…","neutral","positive"
"491","no problem you good i know the mental health ramifications of this whol…","joy","neutral"
"492","during times like this people’s mental health is a real issue make sure you guys are checking in on your family and fri…","joy","positive"
"493","during times like this people’s mental health is a real issue make sure you guys are checking in on your family and fri…","joy","positive"
"494","bell let’s talk dayjan treat mental health issues like any other health issuewe all have mental healthlike we al…","joy","positive"
"495","saw this coming a mile away this will turn into a mental health issue just watch","disgust","neutral"
"496","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"497","mental health issue","neutral","positive"
"498","it can often be a symptom of a mental health issue or episode but you’re getting it","neutral","negative"
"499","that sounds like an incredibly severe mental health issue","joy","positive"
"500","it can often be a symptom of a mental health issue or episode but you’re getting it","neutral","negative"
"501","wow the comments given the intense stigma rampant in the responses is it any wonder people dont se…","surprise","negative"
"502","an interesting articleon a critical issue and i don’t mean to trivialise it but a great ch…","joy","negative"
"503","i think suggesting to children it’s a mental health issue isn’t goodgood parenting mean…","neutral","positive"
"504","i just want every mental health issue i have to be gone just like that since they showed up just like that n frankl…","joy","positive"
"505","mental health is an issue","neutral","positive"
"506","my brother is brown and i’m not we had the same home life only one of us ever had the same guidan…","joy","positive"
"507","it’s pretty fucking low george pardon my french but this is a mental health issue surelyyrs in place then…","sadness","positive"
"508","thats murica thoughwhite people can use mental health to soften the backlash while we get to pi…","sadness","neutral"
"509","if you have a friend that has a certain mental health issue and they warn you abt it please try to be considerate…","joy","neutral"
"510","the police reports says bipolar person off his meds had a manic epis…","neutral","negative"
"511","thats ridiculous during my first semester we had the same issue and someone wrote a letter about…","neutral","negative"
"512","disclosure to workplaces is a regular common issue sometimes it goes well but more likely terribly…","neutral","positive"
"513","theyre already setting up his punk ass defense as a mental health issue here we go","neutral","positive"
"514","you can’t pick and choose when to acknowledge mental health is an issue in a criminal case","joy","negative"
"515","alcohol is more than just a health issue it is also a mental issue

alcohol numbs you from you responsibili…","neutral","positive"
"516","don’t miss out bppa conferenceaddressing the key issue of our time to harness digital technology for mental health re…","neutral","negative"
"517","that was about mental health law enforcement is a separate issue prevention is…","neutral","positive"
"518","it’s pretty fucking low george pardon my french but this is a mental health issue surelyyrs in place then…","sadness","positive"
"519","the biggest issue that the progression of mental health services and care faces is stigma stigma…","joy","negative"
"520","most importantly the mental health issue on covid corrupted visual disorder is the result of covid corona…","neutral","neutral"
"521","nopenot at allthe only thing racist is your statementyour failing as a council is not to add…","neutral","negative"
"522","did you read the police report before you run with the hate crime narrativethe woman beater suffers…","anger","negative"
"523","and now hopefully the mental health issue wont be used to give him a light charge","joy","positive"
"524","just gonna kick back and take this one in as people try to figure out if its a race issue a toxic ma…","joy","negative"
"525","love you jordan but the pandemic is destroying the world and there is a literal mental health cri…","joy","positive"
"526","i agree if anything the system is getting worse in sentencing and accountability with the new terms…","neutral","neutral"
"527","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"528","you can’t pick and choose when to acknowledge mental health is an issue in a criminal case","joy","negative"
"529","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"530","ways schools are addressing pandemicinduced mental health issues","neutral","positive"
"531","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"532","it’s not a mental health issue wheeler knew exactly what he was doing to her he’s evil and cruel","anger","negative"
"533","<U+0001F9F5>thread

out now race mental health state violence
 
this special issue guestedited byamp …","neutral","positive"
"534","<U+0001F9F5>thread

out now race mental health state violence
 
this special issue guestedited byamp …","neutral","positive"
"535","its not a mental health issue","neutral","positive"
"536","seems like this may end up being a sad story of mental health issue gone bad which happens every single day in “regular” a…","sadness","negative"
"537","when will this country finally understand that mental health is probably the biggest issue we need…","neutral","positive"
"538","glad you see that side after hearing about his mental health issue a lot of pe…","joy","positive"
"539","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"540","the awareness of mentalhealth as a public policy issue has been growing and we can consider it an important opportu…","neutral","positive"
"541","ukmortgageprisoners is not just a home made issue its a home grown scandal that has tried to be buried for a decade …","neutral","neutral"
"542","well that’s because guns aren’t the issue if anything the democrats and republican…","neutral","positive"
"543","clearly he has a mental health issueno matter then its on him to recognize that and get himsel…","sadness","neutral"
"544","absolutely terrifying like we can have disagreement…","joy","positive"
"545","acommentary piece shares how “telehealth is helping underserved communities tackle a critical issue…","neutral","negative"
"546","maybe who knows could be a mental health issue not necessarily covid related i’m just getting i…","neutral","positive"
"547","we should be applauding there decision skip looking after players before mental he…","neutral","positive"
"548","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"549","bipolar mental health is a real issue and needs to be addressed at a serious level","neutral","negative"
"550","thats what you say to anyone that disagrees with your opinion using a serious health issue to insult…","neutral","negative"
"551","domestic abuse is not a mental health issue","neutral","negative"
"552","if you are struggling with an issue directly related to or impacted by having diabetes seeing someone who has experience…","neutral","positive"
"553","superintendent dr ryan laager understands the number one issue impacting his students and schools mental health…","neutral","positive"
"554","i’m sorry but this is why i can’t stand you it’s a hate crime if his intent was to kill her because she was a poc…","anger","negative"
"555","how so 

not everyone cares about sports or even watches tv 

the unemployment issue thr…","neutral","positive"
"556","the main mental health issue i dealt with last term was children whod lost parents and grandparents to covid i do…","neutral","negative"
"557","they are not insane they know the difference between right and wrong and have…","neutral","negative"
"558","go inside the workforce mental health surge see how employers can support the critical connection between employee…","neutral","neutral"
"559","we don’t know if it is an issue as we hav…","neutral","positive"
"560","beating up women is not a mental health issue however some may argue but to beat up black women wow","surprise","neutral"
"561","todays wednesdaywisdom comes from pru who faced stigma around her bipolar and which cost her friends and jobs 

menta…","neutral","negative"
"562","trumps mental health was clearly the salient issue from before the beginning of his term it wasnt subtl…","neutral","positive"
"563","domestic abuse is not a mental health issue","neutral","negative"
"564","i would say that disassociation is definitely a menta…","neutral","positive"
"565","watching the documentary about katie price amp her son harvey im glad she covered the issue of young people with di…","joy","positive"
"566","she is absolutely disgusting how are these people so detached from the t…","disgust","negative"
"567","i really wanna know what happened to this girl i went to school withlike is it drugs or a mental health issue","neutral","positive"
"568","are you actually living in the real world harsh actually mild to what most people want…","neutral","positive"
"569","also if you read her statement this isa mental health issue he never fought her before has man…","neutral","positive"
"570","andsurvival rate if the vulnerable population is vaccinated then what’s the issue…","neutral","positive"
"571","trumps mental health was clearly the salient issue from before the beginning of his term it wasnt subtl…","neutral","positive"
"572","this isn’t a mental health issue <U+0001F926><U+0001F3FE><U+200D><U+2642><U+FE0F>","neutral","positive"
"573","and then when it is mental health that’s the issue you try to bury it cte you can do more","neutral","negative"
"574","your mental healthyoure not alonefeatured column from bcsls enews
mental health affects one in five people i…","neutral","positive"
"575","agreed blindboy go and do your job and stop putting the issue of mental health on to the people ti…","neutral","negative"
"576","delusions are a mental health issue that should be treated not allowed to continue its damage to bo…","neutral","negative"
"577","domestic abuse is not a mental health issue","neutral","negative"
"578","pretty obvious that boris johnson does not have to deal with homeschooling and the stress that this is gen…","neutral","negative"
"579","what we’re not going to do is make this a mental health issue he seemed perfectly fine to do this disgusting act a…","disgust","positive"
"580","any time a white man commits violence it’s automatically deemed a “mental health” issue i guarantee you no one eve…","neutral","positive"
"581","read the seahawks statement implying chad wheeler has mental health issues and they wont try to resign him after he tried to mur…","neutral","negative"
"582","they went the mental health issue route","neutral","positive"
"583","they went the mental health issue route","neutral","positive"
"584","tomorrow is bellletstalkday it’s so important that people research amp brush up on mental health it’s not okay to t…","neutral","positive"
"585","read the seahawks statement implying chad wheeler has mental health issues and they wont try to resign him after he tried to mur…","neutral","negative"
"586","if i had afor every very real medical or mental health issue i have that i let go untreated bc my fo…","neutral","positive"
"587","this is a mental health issuei had a neighbor do exactly the same thing in her back yard screaming so horribly i…","fear","negative"
"588","this ain’t no damn mental health issuethis mf chad wheeler is terro…","neutral","negative"
"589","some ppl might need to travel who may als…","neutral","neutral"
"590","read the seahawks statement implying chad wheeler has mental health issues and they wont try to resign him after he tried to mur…","neutral","negative"
"591","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"592","abuse doesnt turn peop…","disgust","negative"
"593","when shit came out about greg hardy beating his gf the media was all over it but this guy gets made into a mental…","neutral","positive"
"594","reducing stigma is such an important part of improving mental health and also of improving the issue of child sexua…","neutral","negative"
"595","seems like this may end up being a sad story of mental health issue gone bad which happens every single day in “reg…","sadness","negative"
"596","besides this big issue with the stalker can affect nayeon mental health

please do something to stop this situation…","joy","positive"
"597","read the seahawks statement implying chad wheeler has mental health issues and they wont try to resign him after he tried to mur…","neutral","negative"
"598","read the seahawks statement implying chad wheeler has mental health issues and they wont try to resign him after he tried to mur…","neutral","negative"
"599","read the seahawks statement implying chad wheeler has mental health issues and they wont try to resign him after he tried to mur…","neutral","negative"
"600","oh hell nothis is not a mental health issue you leave it at we encourage chad to get the help he needs","sadness","negative"
"601","while mental health has always been an issue the pandemic has caused students who werent in a vulnerable populati…","neutral","positive"
"602","read the seahawks statement implying chad wheeler has mental health issues and they wont try to resign him after he tried to mur…","neutral","negative"
"603","read the seahawks statement implying chad wheeler has mental health issues and they wont try to resign him after…","neutral","negative"
"604","ah i see so just like in everything else white dude commits a crime and he has a mental health issue black dude…","joy","neutral"
"605","listen if you have a mental health issue i have compassion for you but being mentally ill does not excuse violen…","neutral","negative"
"606","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issue sh…","anger","negative"
"607","violence is not a symptom mental illness they are two complete separate…","neutral","negative"
"608","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issue shou…","anger","negative"
"609","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issue should n…","anger","negative"
"610","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issue s…","anger","negative"
"611","of doctors believe mental health issues depression will be the biggest noncovid issue as a result of the p…","sadness","neutral"
"612","todays wednesdaywisdom comes from pru who faced stigma around her bipolar and which cost her friends and jobs 

menta…","neutral","negative"
"613","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issue should…","anger","negative"
"614","please pause in memory of those lost and talk openly about this communitywide issue mental health and suicide preventio…","joy","neutral"
"615","boredom is a mental health issue contributes to risky pandemic behaviour and might affect our politics …","joy","negative"
"616","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issue s…","anger","negative"
"617","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issu…","anger","negative"
"618","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"619","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issue shou…","anger","negative"
"620","if we tolerate the seeds of evil they will grow amp spread 
those with clusterb mental health issue sh…","anger","negative"
"621","unless we acknowledge our role in celebrating the violence and brain damage he receives every sunday we…","neutral","neutral"
"622","mental health is a serious issue especially for our athletes as many know the amount of pressure is t…","neutral","neutral"
"623","“we encourage chad to get the help he needs” assuming that he has a mental health issue and not that he’s jus a shi…","sadness","neutral"
"624","just dont mental health issue being a excuse to get away with domestic violence he need to be locked…","sadness","negative"
"625","are you saying that mental health is not an issue that people shoul…","neutral","positive"
"626","im bipolar and on my meds even when i was off my meds i never assaulted any…","neutral","positive"
"627","this condescending ass ‘take’ is so fucking ugly and dismissive of the victim here a black woman and then to try to…","fear","negative"
"628","it’s always a mental health issue with these people fcking crazy man","neutral","negative"
"629","theyre not saying its because of as an excuse every single person who commits any…","neutral","negative"
"630","it’s always a mental health issue with these people fcking crazyman","neutral","positive"
"631","that’s stupidthis is a serious situationplease leave your political comments to y…","neutral","negative"
"632","what was the strangestmost idiotic cure someone suggested for your chronic mental health or physical health issu…","neutral","negative"
"633","if chadwheeler hasn’t been trending in part because mental illness was involved or because of health information…","neutral","negative"
"634","trumps mental health was clearly the salient issue from before the beginning of his term it wasnt subtl…","neutral","positive"
"635","this research highlights the pressure young people feel to look a certain way and the negative impact that has on their self…","neutral","negative"
"636","“experiencing mental health issues” i didn’t know being a piece of shit was a mental health issue","neutral","positive"
"637","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"638","seahawks immediately jump to mental health issues for chad wheelers attempted murder <U+0001F926><U+0001F3FE><U+200D><U+2642><U+FE0F> i’m not saying but i…","anger","negative"
"639","sounds like a mental health issue but thanks for politically pointing it out","joy","positive"
"640","heard he has a bipolar disorder also not saying that made it okay but instead of just throwing him out and giving…","neutral","neutral"
"641","bc i did i only speak from personal experience unless theres a legit medicalmental h…","neutral","positive"
"642","“bow to me” is the greatest mental health issue humans have ever faced","neutral","positive"
"643","mental health issue nah he beat her tf up and he needs to be in jail","surprise","positive"
"644","mental health issue nah he beat her tf up and he needs to be in jail","surprise","positive"
"645","very weird they phrase this as a mental health issue for him","neutral","negative"
"646","this was either drastically overthought or the seahawks are stupid this wasn’t a “mental health” issue","surprise","negative"
"647","i think the assignment had something to do with a social issue so i just made mine about general mental health… i p…","neutral","positive"
"648","it’s not a mental health issue wheeler knew exactly what he was doing to her he’s evil and cruel","anger","negative"
"649","my issue with matt haigs brand of mental health advocacy is the diluted buzzword quality of it its ok not to be ok has…","neutral","positive"
