"","x"
"229","@Somesaylezzels @SamuelTChelemer @HighStandards17 Then clarify. It wasn't our issue that you didn't specify what av… https://t.co/7izuVfkVaP"
"230","@eemilydearr @SamuelTChelemer @HighStandards17 Mental health may need to be treated for weeks, but it shouldn’t be… https://t.co/0NSW6xkLQs"
"231","RT @Somesaylezzels: @HighStandards17 Oh I’m sorry, I’ll be quiet about the issues and all the research that shows our mental health system…"
"232","RT @Somesaylezzels: @HighStandards17 Oh I’m sorry, I’ll be quiet about the issues and all the research that shows our mental health system…"
"233","Anybody still think we don't have a severe mental health issue in our country. 
Great Scott! https://t.co/ZRCgrmq8zS"
"234","@CNN Mental health is a serious issue that needs to be addressed in the United States, starting with this batshit i… https://t.co/4lpkz5frvo"
"235","RT @gmmmmnnxk: @captanne @travisakers Mental health is not the issue here. Plenty of people who struggle with mental health *don’t* commit…"
"236","Study: Mental Health Is A Bigger Issue Than Covid Itself For PR 
#BellLetsTalk https://t.co/gjgvYoAPBc"
"237","@mpiercy89 @seahawksPR Did you?... Seriously, did you just?... ""PR is a difficult area and in paticular it's very d… https://t.co/DoaDcv7Qni"
"238","A growing waiting list for prisoners with a severe psychiatric illness in accessing the Central Mental Hospital rep… https://t.co/ZOSYuOvMlY"
"239","@soondubaddie @kanoajung @rollingtitytina It’s not cancel culture, it’s the fact that instead of apologizing and ta… https://t.co/nNDa6KUhwi"
"240","@realshekinahh On the military Stan.. Both Are classified. Mental Sickness. Big mental health Issue.   Trans. And o… https://t.co/9kHO6sbRrW"
"241","RT @ReadByTheSun: Aries, Taurus, Gemini, &amp; Cancer - A family member, friend, or someone you live with needs practical advice on an issue th…"
"242","RT @paulbristow79: After being challenged by young people in #Peterborough at a mental health summit I raised the issue of mental health, C…"
"243","Mental Health is a real issue during lockdown as we all know however do we know just how bad it is ?

https://t.co/Gyfw0UwOVJ"
"244","@lowliferyan @TaylorLewan77 This ain’t it, I acknowledge that mental health is very real but it is 1000% his fault… https://t.co/LyCZ3b7B6Y"
"245","How working out works wonders for your mental health | The Big Issue #BellLetsTalk https://t.co/jzac6SOSzp"
"246","@empissocra The team issued a statement that does some heavy lifting trying to recast it as a mental health issue i… https://t.co/kVIU31WI4g"
"247","RT @OrionClinic: Mental health is a serious issue. Please talk to your doctor if you need someone to talk to about your mental health issue…"
"248","@Bell_LetsTalk Mental Health is a world issue! Talk to someone ."
"249","@BlackCatUnloads @Berlidge Chris, just think about this. Every one  of those trumplicans has a serious personality… https://t.co/WA2Lc9Yc7z"
"250","RT @YvonneGach: Mental health is a social justice issue. I found this piece on the old people app aka facebook and it really hit home.  
#M…"
"251","@papi_pooch @KariseMorae @RomeTheTrainer_ ""Lone wolf""; ""mental health issue""; ""bullied"" = 'another White Supremacis… https://t.co/WxsQR1uTaM"
"252","I'm not trying to be a hating <U+0001F351> betch, and I know mental health and loneliness is a big issue, particularly around… https://t.co/OTeKcLXYEm"
"253","RT @danrhon: Our report on sex differences, mental health disorders &amp; PFP in military service members will be out in the Veterans Health Sp…"
"254","@JunlianLeblanc @Bell_Cause Im in! Mental health is a big issue in today’s world. #BellLetsTalk"
"255","@queenb0414 I do see the issue! It’s about a human who has mental issues that wasn’t taking his medication. The foc… https://t.co/dIzVe5Dg41"
"256","@jemelehill did you just lump together every existing mental health issue?"
"257","Why is it always a mental health issue when it’s white men? If I wanted to be a piece of shit individual I’d bring… https://t.co/ysy5FYCSYm"
"258","RT @inspirmentalist: @brigittep72 @SeaTimesSports @bcondotta Im bipolar and on my meds... Even when i was off my meds i never assaulted any…"
"259","One young guy at check-in was here for a mental health issue after serving w/his National Guard unit at the Capitol… https://t.co/ml7CKxwwLL"
"260","RT @cnmatthews: @itsSpencerBrown I agree climate change worrying is the most significant public MENTAL health issue of our time (right next…"
"261","RT @Somesaylezzels: @HighStandards17 Oh I’m sorry, I’ll be quiet about the issues and all the research that shows our mental health system…"
"262","@clarencehilljr Absolutely disgusting how the Media has Faded regarding this Issue... No Breaking News, No Outrage,… https://t.co/MgJWWWZDOq"
"263","@UncleGusNyc He’s got heavy charges pending However he seems to have serious mental health issues And was off his m… https://t.co/whfoiDeuOr"
"264","RT @92In82: Your inexcusable actions guised as “mania” is a slap in the face of everyone who has mental health issues. You beat her because…"
"265","RT @mspratt: Tomorrow is #BellLetsTalk day. Talking about mental health is so important. But when you tweet for one day about this issue pl…"
"266","RT @mspratt: Tomorrow is #BellLetsTalk day. Talking about mental health is so important. But when you tweet for one day about this issue pl…"
"267","@SeaTimesSports @adzo72 Absolutely disgusting how the Media has Faded regarding this Issue... No Breaking News, No… https://t.co/5QSC3pNOy8"
"268","RT @mspratt: Tomorrow is #BellLetsTalk day. Talking about mental health is so important. But when you tweet for one day about this issue pl…"
"269","RT @ReadByTheSun: Aries, Taurus, Gemini, &amp; Cancer - A family member, friend, or someone you live with needs practical advice on an issue th…"
"270","Mental health in America is definitely an issue. The stigma &amp; the dilemma of treatment clash daily, I’m guessing. B… https://t.co/GHaAVKl6Fr"
"271","@moonlitegraham6 @jarlath_dc @Mast_Univ @JackPosobiec They don’t care, they want to abolish everything so it’s one… https://t.co/gO0xuTpvi0"
"272","How effective could a public policy approached on mental health stigma as a social justice issue? #SocialWorkTwitter"
"273","Here’s the deal: he’s not convicted. But there’s a lot of evidence. So I have an idea: instead of cutting him (beca… https://t.co/ukcNtcGKZq"
"274","#LIVE: Converge Media Presents - A special one on one conversation between Converge Media's @HolidayTraeanna and As… https://t.co/DHyIgfWOyh"
"275","RT @Somesaylezzels: @HighStandards17 Oh I’m sorry, I’ll be quiet about the issues and all the research that shows our mental health system…"
"276","RT @_TheChuck_: Listen, if you have a mental health issue, I have compassion for you. But being mentally ill does not excuse violent conduc…"
"277","Your mental health issue is not an excuse to mistreat others."
"278","RT @92In82: Your inexcusable actions guised as “mania” is a slap in the face of everyone who has mental health issues. You beat her because…"
"279","RT @ReadByTheSun: Aries, Taurus, Gemini, &amp; Cancer - A family member, friend, or someone you live with needs practical advice on an issue th…"
"280","@jemelehill Also, he knew he had a mental health issue that made him dangerous. Therefore, he should be held respon… https://t.co/8iIr1B1bR2"
"281","@davidmweissman @mtgreenee @davidhogg111 Anyone that is sane and has no record in their background has no problem w… https://t.co/jrGW2SMXBf"
"282","RT @popemike80: @KateFlood Couldn't agree more Kate. 

Mental health is a very personal issue that can affect any person, of any age, in an…"
"283","RT @kaylakatono: This just goes to show how men’s suicide awareness and mental health is overlooked but is still a very real and relevant i…"
"284","@Cindy7844 @DukeJay_ @miasdad56 @Jonathanstewar1 I understand the mental health issue. This was known tho so all I’… https://t.co/TvwbHqwcVs"
"285","RT @AASPTweets: “An Online Intervention to Support Student-Athlete Mental Health: Implementation, Evaluation, and Critical Reflection” is f…"
"286","@kylenabecker Biden has withheld his mental health issue. Isn't it?"
"287","@JonAttenborough I’m finding it harder than ever sometimes it an issue to even get out of bed and just today I ques… https://t.co/7WMZp0KATd"
"288","RT @SuzeePNJ: @aliasvaughn @highbrow_nobrow I know suicide is a mental health issue and feel for his family , but I can’t get pass maybe he…"
"289","@TVInsider @justanactor Malcolms my hero and is to many others. He has a mental health issue but still perseveres.… https://t.co/Uv89FttJc4"
"290","@aliasvaughn @highbrow_nobrow I know suicide is a mental health issue and feel for his family , but I can’t get pas… https://t.co/aQ4Kw2wnoR"
"291","@captanne @travisakers Mental health is not the issue here. Plenty of people who struggle with mental health *don’t* commit crimes."
"292","@MikeBennett1759 @MHAacrossNYS @NASSP @Everytown Kids Need To Be In School Before Mental Health Issue’s of Our Children Explode!!!!"
"293","@SimiHeer No. It all started with a mental health issue."
"294","RT @mspratt: Tomorrow is #BellLetsTalk day. Talking about mental health is so important. But when you tweet for one day about this issue pl…"
"295","he does <U+0001F97A> even if it’s a mental health issue of mine <U+0001F62D> https://t.co/TUZ1OS7Jyf"
"296","The Iranian community has a massive issue of not talking about mental health and then hiding suicides.

Seriously s… https://t.co/WMBbj6AHuQ"
"297","RT @femalequotient: 62% of employees cite mental health issues as the biggest issue during the pandemic. Organizations need to develop prog…"
"298","Mental health is a serious issue. Reach out to your loved ones and make sure they good"
"299","@CTVToronto And then we wonder why mental health is an issue.  Who are these doctors saving?  95% of mortalities ar… https://t.co/N9bp5k9o1M"
"300","@sbkaufman @AndrewYang Very cool! Could you please please ask him about his support for funding couple therapy? Our… https://t.co/gHOYNyc0dh"
"301","How...do people get like this? There has to be a mental health issue here, right? https://t.co/YKkDaj2Uyk"
"302","that what i always do..if you’re annoying, always make drama, i’ll unfollow &amp; mute..my timeline is so clear, someti… https://t.co/G67FduqgUE"
"303","Domestic violence is not Mental health issue. L https://t.co/YOLDDjJ0Wn"
"304","COVID-19 and your mental health -  https://t.co/5VHwJtaqhC 
My biggest issue is procrastination along with what day… https://t.co/4eU7yadGkm"
"305","RT @ReadByTheSun: Aries, Taurus, Gemini, &amp; Cancer - A family member, friend, or someone you live with needs practical advice on an issue th…"
"306","@HighStandards17 I’m literally mentally ill and work in disability justice, mental health advocacy, and have multip… https://t.co/nBAP8aNjll"
"307","RT @BSO: Read The Seahawks Statement Implying Chad Wheeler Has Mental Health Issues and They Won't Try to Re-Sign Him After He Tried to Mur…"
"308","@ThemDems Jayzus! I don't get it. They would rather put their body through this kind of toxic craziness rather than… https://t.co/sf6rNUfzFp"
"309","@vegastystad @CCSD_Trustees Yea. What happened? I thought big issue was mental health. Per all Jara interviews on cable. <U+0001F481><U+0001F3FD><U+200D><U+2640><U+FE0F>"
"310","@brie_alyssa wtf? yeah sorry domestic violence is not a mental health issue <U+0001F621><U+0001F92C>"
"311","@AdamSchefter Mental health issue my ass, this dude is a fuckin weak man that deserves to be in prison, the Seahawk… https://t.co/YPmUQCTmqU"
"312","RT @kwame_mckenzie: An important issue which came up during covid-19.  Women between 18-55 had the worst mental health during covid partly…"
"313","@MsBiancaAgain He’s white therefore it’ll be a mental health issue. The first thing they said in the report is that… https://t.co/eNZJuVdUev"
"314","RT @92In82: Your inexcusable actions guised as “mania” is a slap in the face of everyone who has mental health issues. You beat her because…"
"315","@HighStandards17 Oh I’m sorry, I’ll be quiet about the issues and all the research that shows our mental health sys… https://t.co/EJScXzk3Hg"
"316","This is really interesting because I understand drug use as a response to a mental/physical health issue, 99% traum… https://t.co/PD2sHU47dM"
"317","@BBOYWORTHING @TheGoodSin I just did!! Good lord this man needs to be in jail! My ass would be locked up why ain’t… https://t.co/MccrOGkSIR"
"318","@SatiarShah @CoreyHirsch #HockeyTalks Let's see these issues without the persuading back to big pharma. Let's not a… https://t.co/qnYSJMs2LF"
"319","RT @ReadByTheSun: Aries, Taurus, Gemini, &amp; Cancer - A family member, friend, or someone you live with needs practical advice on an issue th…"
"320","I don’t know how people can seriously not be happy for others. That’s a true mental health issue"
"321","Has anyone checked if she has a mental health issue?? https://t.co/ILDvom4pxc"
"322","@saraanderson023 You said you couldn’t get the sentence out of your head. Happens to me all the time. AndvI tease m… https://t.co/O9tNS2iBCB"
"323","RT @_TheChuck_: Listen, if you have a mental health issue, I have compassion for you. But being mentally ill does not excuse violent conduc…"
"324","RT @92In82: Your inexcusable actions guised as “mania” is a slap in the face of everyone who has mental health issues. You beat her because…"
"325","RT @MissyAndrist: When mental health experts warned us that the normalization of sociopathic behavior would lead to catastrophic social iss…"
"326","RT @OrionClinic: Mental health is a serious issue. Please talk to your doctor if you need someone to talk to about your mental health issue…"
"327","@Joe_Fann Wonder how mental health comes into play. We know he has been diagnosed with bi-polar. The issue is he di… https://t.co/K4GSvASBiC"
"328","Biggest issue facing ed in @NYCSchools ? Lot of kids who lost Moms &amp; Dads with no closure. Start to build a mental… https://t.co/xMXlLsFd9V"
"329","RT @BSO: Read The Seahawks Statement Implying Chad Wheeler Has Mental Health Issues and They Won't Try to Re-Sign Him After He Tried to Mur…"
"330","@MACNEFICANT21 Then dude was like I’m surprised she survived but this a mental health issue"
"331","Victimhood is a Mental Health Issue."
"332","Your inexcusable actions guised as “mania” is a slap in the face of everyone who has mental health issues. You beat… https://t.co/elWBmcfi7y"
"333","RT @mspratt: Tomorrow is #BellLetsTalk day. Talking about mental health is so important. But when you tweet for one day about this issue pl…"
"334","I’m so over men questioning the legitimacy or validity of my mental health issue me just because I don’t exhibit my… https://t.co/CiOHMJH93B"
"335","RT @Drksknbrotha: Ah, I see. So just like in everything else, white dude commits a crime and he has a mental health issue. Black dude commi…"
"336","@warloc6 <U+0001F4AF> agree but the other issue that is just as concerning is the lack of mental health resources and treatmen… https://t.co/FS7Isbuyts"
"337","RT @OrionClinic: Mental health is a serious issue. Please talk to your doctor if you need someone to talk to about your mental health issue…"
"338","RT @mspratt: Tomorrow is #BellLetsTalk day. Talking about mental health is so important. But when you tweet for one day about this issue pl…"
"339","Fuck you, you’re an asshole this isn’t a mental health issue. Putting your hands on a woman is a crime and you dese… https://t.co/JAbT2PxfUf"
"340","RT @the_odunola: Going through a mental health issue and you feel alone &amp; misunderstood?

Join @CocoTennie on @Thehealthcity1's Instagram f…"
"341","@RadziJidin Please address the issue at hand YB, which is the mental health of students who are simply ill prepared to take SPM"
"342","@AaronFlux @bradmiska Agreed. Whenever I see clips like this I always have to ask myself ""Is this a mental health r… https://t.co/FlxcDSODvB"
"343","@49grams Even if it was a mental health issue, call it what it was....attempted murder and an absolutely brutal att… https://t.co/TsDtRUY9K4"
"344","@Etanarachel @Somesaylezzels This is a different issue entirely! But! Having teams of trained mental health profess… https://t.co/hCCvuuK7ib"
"345","Don't get me wrong, mental health is an absolute issue but I'm tired of seeing the contradictory between players (e… https://t.co/EhMwqnkDQc"
"346","like yeah, I get that mental health is an issue here, same as CTE and brain damage. but this is really fucking mess… https://t.co/ctIQhLiBtZ"
"347","@brie_alyssa Ehhhh Im not sure that tracks.  For anyone to do something that heinous, they have to have something w… https://t.co/m5nJfHZI09"
"348","This isn’t a mental health issue though https://t.co/aLLl5teHFW"
"349","@ra_rabble @maddow You can't be serious. She was right all along. She follows the FACTS. You know you have the abil… https://t.co/aROyFjjvfT"
"350","RT @ustmikesPres: When students are at the table, we make better decisions. Grateful for the fruitful discussion this morning with our stud…"
"351","Man put damn animal POS in prison and throw away the key. And Seattle's response tried to make it seem like a menta… https://t.co/ae8HZRTqQA"
"352","RT @JosephArmand1: @yourauntemma Trump's mental health was clearly the salient issue from before the beginning of his term. It wasn't subtl…"
"353","@shortbumble22 He’s has documented mental health issue. Some people like to use this as a scape goat."
"354","RT @MIKEMCM0487: @bedasiciliana2 @RonFilipkowski Well that’s because guns aren’t the issue. If anything the Democrats and Republicans help…"
"355","RT @bluebirds999: STOP...

APOLOGISING...

FOR...

HAVING...

A...

MENTAL...

HEALTH...

ISSUE<U+203C><U+FE0F>

<U+0001F60A><U+0001F5A4><U+0001F918><U+0001F3FC>"
"356","of a burden it made me feel. when i was dating sinead my mental health was at an all time low because of the toxici… https://t.co/Hq40zqJNqt"
"357","And they calling a 6 foot 7 300 pound man attempting to kill a 147 pound woman a damn mental health issue, and sugg… https://t.co/7Ehmt7Gf5X"
"358","There’s someone who sounds very drunk or high and/or having a mental health issue in a lot of distress being very l… https://t.co/48eoCCbbEG"
"359","Our report on sex differences, mental health disorders &amp; PFP in military service members will be out in the Veteran… https://t.co/NtIgH8M7Ft"
"360","RT @49grams: What a trash statement to turn this into a mental health issue."
"361","RT @BSO: Read The Seahawks Statement Implying Chad Wheeler Has Mental Health Issues and They Won't Try to Re-Sign Him After He Tried to Mur…"
"362","@Paul_VanDerMeer That is not a mask issue, it is a mental health issue."
"363","RT @WAIMHorg: Perspectives IMH 3/2020 has been published! Perspectives IMH is an open source publication, please share! #IMH #WAIMH #WorldI…"
"364","RT @mspratt: Tomorrow is #BellLetsTalk day. Talking about mental health is so important. But when you tweet for one day about this issue pl…"
"365","RT @BSO: Read The Seahawks Statement Implying Chad Wheeler Has Mental Health Issues and They Won't Try to Re-Sign Him After He Tried to Mur…"
"366","RT @nkk: @Karnythia And people keep trying to say this is a mental health issue. Umm no. I know so many wonderful with mental health proble…"
"367","@RepDonaldsPress @ByronDonalds But taxpayers should be forced to pay for illegal immigrants and overpriced healthca… https://t.co/4esmab3t9s"
"368","RT @mspratt: Tomorrow is #BellLetsTalk day. Talking about mental health is so important. But when you tweet for one day about this issue pl…"
"369","@ChadWheeler72 You should be ashamed of yourself. Don't blame it on a mental health issue. Man up and get off those Steroid. You need Jesus."
"370","RT @ReadByTheSun: Aries, Taurus, Gemini, &amp; Cancer - A family member, friend, or someone you live with needs practical advice on an issue th…"
"371","@Two5ive_ Nope, but I have a feeling the mental health issue (and the obvious other factor) are giving the media pa… https://t.co/b3oRwAtM2a"
"372","RT @BSO: Read The Seahawks Statement Implying Chad Wheeler Has Mental Health Issues and They Won't Try to Re-Sign Him After He Tried to Mur…"
"373","@jabo_vancouver @SoxGarden @NFL He used the words ""manic episode "" in his statement so there could be a larger ment… https://t.co/iuohcEquZ1"
"374","@Bigkiddle @rose_mitts @B_Dean17 @speakercarroll @laurenboebert Ur daughter can study them &amp; tell u whatever she wi… https://t.co/Hxief1t3Fq"
"375","Read The Seahawks Statement Implying Chad Wheeler Has Mental Health Issues and They Won't Try to Re-Sign Him After… https://t.co/37D2oPjy8W"
"376","@NewshubPolitics If you fix this housing mess affordability of cars won't be an issue anymore. Child poverty and me… https://t.co/RKHiT16UxG"
"377","@Mahomes_Kingdom @Ted_Mac70 @AdamSchefter @Seahawks No mention of mental health issue..for him or any Black athlete… https://t.co/EgGvTHI9d1"
"378","why it's time to take drinking seriously as a mental health issue https://t.co/jCO4DpD9jW via @i_D"
"379","i hope that woman that made the 500 page callout on a kid is like...reflecting and working on herself with mental h… https://t.co/MJsQ5j6zS2"
"380","@deb16wood @mtgreenee @realDonaldTrump Thank you for confirming to all of us Deb that we have a serious mental health issue in the USA!"
"381","@ChadWheeler72 prayers man mental health is a big issue. I am sorry for what happen. i’m not making any excuses for… https://t.co/EpnurOkD7r"
"382","RT @ReadByTheSun: Aries, Taurus, Gemini, &amp; Cancer - A family member, friend, or someone you live with needs practical advice on an issue th…"
"383","@Canucks @tmotte_14 @Canucksforkids Mental health treatment availability remains a socioeconomic issue. Mental heal… https://t.co/DBCOnJRXzF"
"384","RT @mspratt: Tomorrow is #BellLetsTalk day. Talking about mental health is so important. But when you tweet for one day about this issue pl…"
"385","@mdrizzy22 @AdamSchefter @Seahawks Domestic Violence isn’t a MH issue. 
We can all agree on that.

He’s off his bi-… https://t.co/NqeEIRH8jV"
"386","@SenTedCruz If we tolerate the seeds of evil, they will grow &amp; spread. 
Those with ClusterB mental health issue sho… https://t.co/XBZhuWLaeu"
"387","RT @KPsKadence: I have a big issue with labeling things as a “manic episode” or a “mental health issue” when it comes to domestic violence…"
"388","@KerstiKaljulaid If we tolerate the seeds of evil, they will grow &amp; spread. 
Those with ClusterB mental health issu… https://t.co/DQHovi0PSE"
"389","@fortressofmemes @PinotWestern @paristwotrill @Karnythia Racism isn't a mental health issue, it is a societal healt… https://t.co/4OA5MLUQTu"
"390","@RepKinzinger If we tolerate the seeds of evil, they will grow &amp; spread. 
Those with ClusterB mental health issue s… https://t.co/OMmdBKiP0d"
"391","@AliMayorkas If we tolerate the seeds of evil, they will grow &amp; spread. 
Those with ClusterB mental health issue sh… https://t.co/M8JQL9K1ju"
"392","I have a big issue with labeling things as a “manic episode” or a “mental health issue” when it comes to domestic violence and white people."
"393","@Canucks @BoHorvat #alcoholawareness Yes talking Bo Horvat,Canucks and NHL,and more listening to health experts war… https://t.co/SpNHSNgZgh"
"394","@MarinSanna If we tolerate the seeds of evil, they will grow &amp; spread. 
Those with ClusterB mental health issue sho… https://t.co/wWlDxDmP52"
"395","@TayDoll1010xl He is bipolar - has been off his meds and probably doesn’t have anyone to make sure he stays on them… https://t.co/HmIqYDT14i"
"396","@SenDuckworth If we tolerate the seeds of evil, they will grow &amp; spread. 
Those with ClusterB mental health issue s… https://t.co/YeWjbrSP7z"
"397","@JustinTrudeau If we tolerate the seeds of evil, they will grow &amp; spread. 
Those with ClusterB mental health issue… https://t.co/qEwZD79qpX"
"398","@MarkWarner If we tolerate the seeds of evil, they will grow &amp; spread. 
Those with ClusterB mental health issue sho… https://t.co/ff3EhDKnCm"
"399","RT @nvrtelmetheodds: @Mayor_Steinberg You have allowed the homeless population to grow exponentially on your watch.This is on you. Your ina…"
"400","You asking her to bow to you was in no way related to your mental health issue. You’re just scum plain and simple. https://t.co/n7ql4YWxgY"
"401","RT @luvbug147: If you have a mental health issue:Go to therapy, take your meds, keep your routines, limit alcohol and sugar,keep up with yo…"
"402","@DominicRaab If we tolerate the seeds of evil, they will grow &amp; spread. 
Those with ClusterB mental health issue sh… https://t.co/YinzEwTM45"
"403","RT @JosephArmand1: @yourauntemma Trump's mental health was clearly the salient issue from before the beginning of his term. It wasn't subtl…"
"404","@NoGunsInCanada I’m beginning to see you have mental health issue’s, someone please get this person help before they hurt someone <U+0001F64F>"
"405","@danorlovsky7 @NFL Which mental health issue should the NFL care about more? Josh Gordon hurting himself with drugs… https://t.co/T2f9p4wuNG"
"406","@AnnamiePaul @CanadianGreens If we tolerate the seeds of evil, they will grow &amp; spread. 
Those with ClusterB mental… https://t.co/GMlYAmaQKE"
"407","@CanadianGreens If we tolerate the seeds of evil, they will grow &amp; spread. 
Those with ClusterB mental health issue… https://t.co/K6Zm3TIGGk"
"408","@ajourno101 @DWP @pritipatel Could it be a mental health issue ?"
"409","RT @mspratt: Tomorrow is #BellLetsTalk day. Talking about mental health is so important. But when you tweet for one day about this issue pl…"
"410","@AP That woman needs to seek psychiatric treatment. She may not even know she has a mental health issue. Her relatives need to intervene"
"411","RT @49grams: What a trash statement to turn this into a mental health issue."
"412","RT @mspratt: Tomorrow is #BellLetsTalk day. Talking about mental health is so important. But when you tweet for one day about this issue pl…"
"413","RT @ReadByTheSun: Aries, Taurus, Gemini, &amp; Cancer - A family member, friend, or someone you live with needs practical advice on an issue th…"
"414","RT @nvrtelmetheodds: @Mayor_Steinberg You have allowed the homeless population to grow exponentially on your watch.This is on you. Your ina…"
"415","RT @kwame_mckenzie: An important issue which came up during covid-19.  Women between 18-55 had the worst mental health during covid partly…"
"416","@dstarwriter59 I think it was actually a mental health issue."
"417","@DumbGooseJessi This America is what mental illness and victim mentality looks look. Mental health disorders are a… https://t.co/pu59gC7vA2"
"418","@pivotlegal @N8V_Calgarian Always been a Health issue, either physical &amp;/or mental"
"419","@tclift @Ryan_Lillis @katie4council The tent cities are out control. Is anyone willing to talk about why more money… https://t.co/un5qvqxqYt"
"420","RT @AlessaDaverio: @LBC @NickFerrariLBC @Keir_Starmer Why is it taking SO long to get the amendment issue sorted? This should be prioritise…"
"421","RT @hiimraul33: @SeaTimesSports All.of a sudden it's a mental health issue...I wonder why <U+0001F914>"
"422","@PureMentalNI @StephenNolan Matthew, you spoke to the heart of the issue in an eloquent way ... sharing your story… https://t.co/gC9LF88h2C"
"423","@kylaer_ Piece of shit trying to pass this off as a mental health issue."
"424","RT @mspratt: Tomorrow is #BellLetsTalk day. Talking about mental health is so important. But when you tweet for one day about this issue pl…"
"425","@LBC @NickFerrariLBC @Keir_Starmer Why is it taking SO long to get the amendment issue sorted? This should be prior… https://t.co/7QA8DqDL7H"
"426","@AdamSchefter @BaxFootballGuru Terrible statement. Domestic violence isn’t caused by a mental health issue (cite:… https://t.co/FxkfKnLczy"
"427","RT @mspratt: Tomorrow is #BellLetsTalk day. Talking about mental health is so important. But when you tweet for one day about this issue pl…"
"428","@EmmanuelAcho @Seahawks @NFL They trynna push it as a mental health issue lol"
"429","Domestic violence is not a mental health issue <U+0001F615> https://t.co/TwRQPNJlzw"
"430","Mental health issue?? GTFOH @Seahawks https://t.co/suBLYo9hfQ"
"431","@DezBryant He was bipolar and off his meds. It’s a mental health issue."
"432","The @Seahawks dropped the ball with that statement. Chad Wheeler doesn’t have a mental health issue, he has an enti… https://t.co/NsHCyyDJcN"
"433","@dionnesearcey Some people just want to see conspiracies, if it wasn't about Trump it would be about something else… https://t.co/YtyLklTZb0"
"434","RT @mspratt: Tomorrow is #BellLetsTalk day. Talking about mental health is so important. But when you tweet for one day about this issue pl…"
"435","@momsbyof3 @Tijanabananas @cafreeland @DFisman travel isn't a big issue....he understands data and he is more cogni… https://t.co/XglFe6eMja"
"436","Why is this being framed as a mental health issue? The man was surprised his victim had survived. I'm disappointed… https://t.co/4dQUNe2lSB"
"437","Clin Trials: Engaged and Resilient - a Preventive Intervention to Promote Psychological Well-being and Mental Healt… https://t.co/uaQWYTW8Hy"
"438","RT @49grams: What a trash statement to turn this into a mental health issue."
"439","""When states started to issue lockdown orders, we saw a surge in people seeking mental health resources on social m… https://t.co/rYBDeyFvOt"
"440","White athletes and Black athletes should get the same treatment by the media buddy got the “mental health issue” tr… https://t.co/bV7UrN9AP7"
"441","RT @UmTAW: to this day, i still am baffled at Michael Vick being locked up for dog fighting and its nfl players out here sexually and physi…"
"442","For shame @Seahawks, trying to shoehorn this into a mental health issue. The man is a violent psychopath and should… https://t.co/RyFKi4qIYh"
"443","RT @49grams: What a trash statement to turn this into a mental health issue."
"444","RT @mspratt: Tomorrow is #BellLetsTalk day. Talking about mental health is so important. But when you tweet for one day about this issue pl…"
"445","RT @mspratt: Tomorrow is #BellLetsTalk day. Talking about mental health is so important. But when you tweet for one day about this issue pl…"
"446","RT @49grams: What a trash statement to turn this into a mental health issue."
"447","@AngPants87 @mdrizzy22 @AdamSchefter @Seahawks Well i dont believe that no one cares and i mean if i had a mental H… https://t.co/qOKUwmMmE7"
"448","to this day, i still am baffled at Michael Vick being locked up for dog fighting and its nfl players out here sexua… https://t.co/51YlA0vtIQ"
"449","@TheAngryStoat @LPerrins @ToniaBuxton @BorisJohnson How many students will actually be suicidal and abused? 1 in a… https://t.co/Q6es13UtIA"
"450","What a trash statement to turn this into a mental health issue. https://t.co/5stixe3RWg"
"451","@iTzSponge04 @mdrizzy22 @AdamSchefter @Seahawks THE WHOLE POINT IS NO ONE EVEN ASKS OR CARES IF BLACK PEOPLE MAY HA… https://t.co/sieEULK9t3"
"452","@ezraklein @CHKelly4 And this is true about every issue, including mental health, homelessness, incarceration, covi… https://t.co/G1Fxm7JnJP"
"453","Mans strangled beat her silly, strangled and left her for dead. Then proceeded to about his dinner. What mental hea… https://t.co/vn1IhbIYqW"
"454","RT @RealKiddWaya: Mental health is such an important topic. We all suffer it in silence... we need an open discussion. Head over to my Inst…"
"455","tw // domestic abuse

you’ve literally tried to kill another human being, don’t try and put this on mental health.… https://t.co/H9mtmLOWEA"
"456","@Mayor_Steinberg You have allowed the homeless population to grow exponentially on your watch.This is on you. Your… https://t.co/1JOjkujc1g"
"457","RT @pluigiantonelli: The awareness of #mentalhealth, as a public policy issue, has been growing and we can consider it an important opportu…"
"458","“White Guilt” - The Incurable Mental Health Issue Plaguing America . To continue watching the Live Show go to our w… https://t.co/Vn9jvcMb37"
"459","RT @RMoraitis: One in five people have a mental health issue.  It’s important that we lose the stigma related to mental health and start lo…"
"460","RT @RMoraitis: One in five people have a mental health issue.  It’s important that we lose the stigma related to mental health and start lo…"
"461","@CBSNews @DanPatterson If they can be so easily pushed into these spiderholes, is it time to discuss what is appare… https://t.co/h93R7EAT9o"
"462","@melformosa Like I’ve said. ALL Police, Fire, EMT, need to have a a Bachelor’s in Psychology or higher. You can’t e… https://t.co/h2HQwKrmKG"
"463","One in five people have a mental health issue.  It’s important that we lose the stigma related to mental health and… https://t.co/aEQV4KGKhc"
"464","<U+25B6><U+FE0F> Growing concern about ill #mentalhealth in #medical_student. Universities across <U+0001F310> must address this issue asap.… https://t.co/j0TFIVt0yT"
"465","RT @RailroadUnderg1: We can no longer tolerate using Incarceration to mask our societal issues. Instead of facing that we have a housing is…"
